,0,1,2,3,4,5,6,7,8
147,2,0,0,0,1,0,2,1,1
148,2,2,0,0,2,1,2,1,0
149,0,2,3,0,1,1,1,1,3
150,1,1,3,2,0,0,2,0,1
151,1,1,2,1,1,1,2,0,1
152,1,3,1,3,2,1,2,0,1
153,1,4,2,1,2,1,1,2,2
154,2,1,3,3,2,1,1,2,2
155,2,1,2,0,0,0,1,0,1
156,0,4,3,3,0,0,0,2,2
157,2,4,0,2,0,1,0,1,0
158,1,4,0,0,1,1,2,2,2
159,0,1,3,1,2,1,1,1,0
160,0,3,2,0,0,0,1,0,0
161,1,0,1,0,0,1,0,0,1
162,2,0,2,1,1,0,2,1,1
163,0,4,0,0,1,0,2,2,2
164,1,4,3,2,2,0,2,2,2
165,0,1,1,1,2,0,0,1,0
166,2,3,2,1,1,1,1,0,0
167,2,1,3,3,0,1,0,0,1
168,2,3,0,1,0,1,2,2,2
169,2,0,1,0,0,1,0,1,1
170,2,2,2,3,0,0,2,1,1
171,1,0,0,0,1,0,0,0,1
172,1,3,3,1,0,1,1,0,1
173,0,3,2,3,0,1,2,1,0
174,1,1,0,2,0,0,2,0,1
175,1,1,1,2,0,0,0,2,2
176,2,3,3,1,1,0,1,1,3
177,1,3,3,0,0,0,0,1,0
178,1,3,0,1,0,1,0,0,1
179,1,0,2,1,1,1,1,0,1
180,2,4,3,2,1,0,2,1,0
181,2,0,2,0,1,0,0,0,1
182,2,1,3,0,2,0,0,0,1
183,1,0,1,3,2,0,0,0,1
184,0,4,3,0,0,0,2,0,0
185,0,0,1,1,0,1,2,2,2
186,0,2,2,1,1,1,1,2,2
187,1,4,1,1,2,0,0,0,0
188,2,0,1,2,2,1,0,2,2
189,1,1,0,1,0,0,2,1,1
190,2,4,3,1,0,0,2,0,0
191,1,0,1,0,0,1,0,2,2
192,0,2,3,2,1,0,2,2,2
193,2,2,1,2,1,1,2,2,2
194,2,1,0,3,1,0,0,2,2
195,1,4,0,1,2,1,1,2,2
196,1,4,1,1,0,1,2,1,1
197,0,2,1,2,0,1,1,0,0
198,2,4,3,2,0,0,2,1,0
199,2,0,0,2,0,0,1,1,1
200,0,0,3,2,1,1,0,2,2
201,1,4,3,2,0,0,0,2,2
202,2,3,1,0,0,0,0,0,0
203,1,1,3,0,2,1,1,2,2
204,2,4,2,3,0,0,1,0,0
205,2,3,3,2,2,1,0,0,0
206,0,2,2,1,1,1,2,2,2
207,2,1,3,1,2,1,1,2,2
208,1,1,3,2,1,1,1,2,2
209,0,1,2,2,0,0,1,1,1
210,2,0,1,3,2,1,1,1,1
211,0,2,3,0,0,1,0,2,2
212,1,4,0,2,2,1,1,1,0
213,0,1,0,0,2,1,2,2,2
214,0,4,2,0,1,0,1,1,3
215,0,2,3,3,0,1,2,2,2
216,0,4,3,1,0,0,0,0,0
217,1,4,1,3,1,0,1,1,0
218,0,2,2,1,0,1,0,1,0
219,0,0,1,3,2,1,1,2,2
220,2,1,3,0,2,1,1,2,2
221,0,0,1,1,2,0,1,2,2
222,1,2,1,0,2,0,2,2,2
223,2,4,2,1,0,0,1,1,0
224,2,2,2,1,2,1,1,2,2
225,1,1,3,3,2,0,0,1,0
226,2,0,1,0,2,0,2,0,1
227,1,0,3,0,1,0,0,1,0
228,0,4,0,2,2,0,0,0,0
229,0,0,0,2,1,1,0,2,2
230,1,2,3,1,1,0,2,2,2
231,1,3,3,3,1,0,0,2,2
232,0,4,0,3,0,0,1,1,0
233,2,4,3,1,1,1,0,1,3
234,0,4,2,3,2,0,0,0,0
235,1,1,0,0,1,1,0,2,2
236,1,4,3,0,1,1,0,0,0
237,2,1,0,1,0,1,2,2,2
238,0,0,3,3,0,0,0,0,1
239,0,2,2,2,2,1,0,1,0
240,2,4,2,2,0,1,1,1,0
241,1,2,1,0,2,1,1,0,1
242,2,4,0,0,2,1,0,1,3
243,2,4,0,3,2,1,2,0,0
244,0,4,1,2,1,1,2,0,0
245,2,1,0,0,2,1,1,2,2
246,2,0,0,1,0,1,1,1,1
247,0,4,3,3,1,0,1,0,0
248,1,1,0,3,1,0,0,2,2
249,0,0,3,0,1,1,2,2,2
250,2,0,1,2,2,1,2,0,1
251,0,0,3,2,0,0,1,2,2
252,2,0,2,0,2,1,0,2,2
253,0,4,0,2,2,0,2,1,0
254,2,4,1,1,0,0,0,1,0
255,2,1,0,2,2,0,0,2,2
256,2,1,2,0,2,1,2,2,2
257,0,0,0,3,2,0,2,2,2
258,1,1,2,2,0,1,2,0,1
259,2,4,2,3,0,1,1,0,0
260,1,4,2,2,1,1,2,1,1
261,1,1,3,0,0,0,2,0,1
262,0,4,0,0,2,1,0,1,3
263,1,4,0,3,1,1,1,0,1
264,1,2,2,3,1,0,0,2,2
265,1,3,2,2,2,0,0,2,2
266,2,1,0,1,1,1,0,2,2
267,1,1,2,2,2,0,2,2,2
268,1,3,3,3,0,1,2,1,1
269,2,1,0,3,0,1,0,2,2
270,0,2,2,3,1,0,0,2,2
271,1,0,3,2,0,1,2,0,1
272,2,4,2,1,2,0,2,2,2
273,0,1,3,1,1,1,0,0,1
274,2,3,1,3,1,0,1,0,0
275,2,0,2,1,2,0,2,0,1
276,0,1,2,3,1,0,0,1,1
277,0,3,1,2,0,0,1,0,0
278,0,3,3,1,0,1,1,1,0
279,2,0,2,1,1,1,2,2,2
280,1,4,3,2,1,1,0,1,0
281,1,2,0,3,2,0,2,1,1
282,2,3,3,2,1,0,2,2,2
283,1,2,2,1,1,1,0,0,1
284,1,1,3,0,2,1,0,1,0
285,2,4,2,3,2,0,2,1,0
286,1,4,0,1,1,1,0,0,0
287,1,2,0,3,1,0,0,0,1
288,1,4,3,3,1,0,1,2,2
289,0,3,0,0,1,1,2,2,2
290,1,1,0,2,1,1,2,0,1
291,0,2,3,2,1,0,1,2,2
292,0,3,1,1,0,1,2,0,0
293,0,0,1,1,1,0,2,2,2
294,0,0,0,3,0,1,2,2,2
295,1,0,2,1,0,0,1,1,1
296,0,0,2,0,2,1,2,2,2
297,0,1,3,3,1,1,1,0,1
298,0,3,0,2,2,1,2,1,0
299,2,1,1,0,0,0,2,2,2
300,0,0,2,3,0,1,0,1,0
301,2,1,2,1,0,1,2,0,1
302,2,1,1,3,0,1,0,2,2
303,2,1,2,3,0,0,0,2,2
304,1,1,0,2,2,1,0,0,1
305,2,4,3,3,2,0,2,1,0
306,1,2,1,1,1,1,0,1,1
307,2,3,3,2,0,1,2,0,0
308,0,2,1,3,0,1,0,1,0
309,0,1,3,3,1,0,1,1,1
310,2,0,0,3,1,1,2,0,1
311,0,1,3,1,1,0,1,2,2
312,1,3,3,3,2,0,0,0,0
313,1,2,1,2,1,0,1,2,2
314,2,3,1,1,0,1,2,2,2
315,1,4,2,3,0,0,1,0,1
316,1,3,0,1,1,0,2,2,2
317,0,3,3,1,1,1,1,0,0
318,1,2,1,1,1,1,0,0,1
319,0,0,1,0,1,0,1,1,0
320,1,2,1,2,2,0,2,2,2
321,0,0,3,1,2,0,1,2,2
322,2,2,1,0,1,1,0,2,2
323,0,2,3,2,2,1,0,2,2
324,2,4,3,1,2,1,0,1,3
325,1,3,1,2,1,0,2,1,1
326,2,1,1,1,1,1,2,1,1
327,1,1,2,1,0,0,1,2,2
328,0,1,2,2,1,1,1,0,1
329,1,0,3,0,0,0,2,1,1
330,2,0,0,3,1,1,0,0,1
331,1,0,3,3,1,0,2,2,2
332,0,2,3,2,0,1,2,1,0
333,0,3,1,1,1,0,0,0,0
334,1,4,3,1,2,0,0,2,2
335,1,3,0,0,1,1,1,0,0
336,0,3,2,1,2,0,2,0,0
337,2,0,2,0,1,0,1,1,0
338,0,1,3,1,2,0,1,0,1
339,2,4,1,2,1,0,2,0,0
340,2,3,1,1,2,0,0,1,3
341,0,3,0,3,2,1,2,0,0
342,0,3,0,1,0,1,2,1,0
343,2,2,2,1,2,0,1,0,0
344,0,2,2,2,1,0,1,1,0
345,2,4,2,0,1,1,0,1,3
346,2,4,3,3,1,0,0,0,0
347,2,2,1,2,0,0,0,2,2
348,0,0,3,2,0,0,0,0,1
349,0,4,1,1,2,0,0,2,2
350,0,4,1,2,0,0,1,2,2
351,2,0,2,3,0,1,0,1,1
352,2,0,1,0,1,0,1,1,1
353,0,2,1,3,0,0,2,1,0
354,1,4,2,3,0,0,0,2,2
355,1,4,2,0,0,0,2,0,1
356,0,4,2,3,0,0,0,1,0
357,0,1,1,3,0,0,2,2,2
358,1,3,2,1,2,0,1,0,0
359,0,4,2,2,1,0,0,2,2
360,1,1,3,3,1,1,0,1,1
361,2,0,3,1,0,0,1,1,1
362,2,3,3,1,0,1,0,1,0
363,2,3,3,3,0,1,2,1,0
364,0,4,0,2,0,1,0,1,0
365,0,4,2,3,0,0,1,2,2
366,2,2,1,3,0,1,0,1,0
367,1,4,2,0,1,0,2,1,0
368,0,4,3,3,1,0,0,1,0
369,1,2,0,3,2,0,2,2,2
370,1,1,0,2,2,1,2,1,1
371,2,2,0,0,0,0,1,2,2
372,1,2,3,0,1,1,1,2,2
373,2,2,3,0,2,1,2,2,2
374,1,1,2,0,0,0,0,0,1
375,0,4,3,1,2,0,0,0,0
376,2,2,3,1,0,0,2,2,2
377,1,1,1,2,0,1,2,1,1
378,1,4,0,3,0,1,2,1,1
379,0,3,1,1,2,1,0,0,0
380,2,1,0,0,2,0,1,2,2
381,2,2,2,3,1,1,2,0,1
382,0,0,0,0,2,1,0,2,2
383,0,2,2,2,1,0,0,0,0
384,2,0,3,0,0,0,2,1,1
385,1,4,0,0,0,1,1,0,0
386,0,0,0,3,0,1,1,2,2
387,0,2,3,2,0,0,0,0,0
388,2,0,2,1,1,0,2,2,2
389,1,2,2,1,0,0,1,1,1
390,1,0,3,3,1,0,2,0,1
391,2,3,1,2,2,0,0,0,0
392,2,3,0,2,1,0,1,0,0
393,1,0,3,2,1,0,1,2,2
394,1,2,2,0,0,1,0,0,1
395,0,0,1,3,0,1,1,2,2
396,0,1,1,0,0,0,1,1,1
397,0,4,2,1,1,1,0,0,0
398,2,0,2,3,1,1,1,0,1
399,2,1,3,3,2,1,0,1,1
400,1,0,2,1,0,0,0,2,2
401,1,3,3,2,0,0,2,0,1
402,1,2,2,1,2,0,1,1,0
403,2,0,1,0,1,0,1,0,1
404,1,4,2,0,2,0,1,1,0
405,0,2,2,0,1,1,2,0,0
406,1,2,2,1,2,1,1,1,1
407,1,4,1,0,0,1,2,1,1
408,1,1,1,2,0,0,0,0,1
409,0,0,2,3,2,1,0,0,1
410,1,2,3,0,0,1,0,0,1
411,2,0,3,3,0,0,1,1,1
412,1,1,3,2,1,1,0,0,1
413,2,4,3,3,1,0,0,2,2
414,2,1,1,0,2,0,1,1,0
415,1,4,0,0,1,0,2,2,2
416,2,4,2,2,2,1,2,2,2
417,2,1,0,2,1,1,2,2,2
418,2,4,3,0,1,1,2,2,2
419,2,0,3,1,0,1,2,1,1
420,1,4,3,2,1,0,0,2,2
421,2,3,1,2,1,0,1,2,2
422,1,3,2,3,2,0,2,0,0
423,0,3,3,0,2,0,1,1,3
424,2,3,2,0,0,1,2,0,0
425,0,2,0,1,0,1,1,0,0
426,2,0,0,0,2,0,2,2,2
427,2,4,1,2,0,1,0,0,0
428,0,3,2,2,0,0,0,2,2
429,2,4,1,2,0,0,0,0,0
430,2,0,3,3,1,0,1,1,1
431,1,4,3,0,2,0,2,0,0
432,0,4,1,2,1,0,0,0,0
433,0,0,0,0,0,1,2,2,2
434,1,2,1,3,0,1,2,2,2
435,2,3,2,1,0,0,1,1,0
436,0,1,0,3,1,0,1,2,2
437,0,3,3,3,1,0,0,1,0
438,2,1,3,3,1,0,0,0,1
439,2,4,0,3,1,0,0,0,0
440,2,3,2,2,0,0,2,0,0
441,0,3,1,3,2,0,0,0,0
442,2,1,3,2,2,0,0,2,2
443,0,0,2,1,2,0,1,2,2
444,0,0,2,3,0,1,0,2,2
445,0,0,0,1,1,0,1,2,2
446,1,1,0,0,2,1,2,1,1
447,0,3,2,2,2,0,0,1,3
448,0,3,2,3,0,1,0,1,0
449,2,0,2,1,2,0,2,2,2
450,0,2,1,2,1,1,1,1,0
451,2,3,2,2,0,0,2,1,0
452,2,3,1,3,2,1,1,0,0
453,1,2,3,2,1,1,1,1,1
454,1,1,0,0,2,1,2,2,2
455,1,1,3,0,0,0,1,1,1
456,2,0,0,1,0,0,1,2,2
457,2,4,0,2,0,1,2,1,0
458,1,3,3,3,0,0,0,0,1
459,0,4,2,3,2,1,1,2,2
460,0,0,1,3,1,1,1,2,2
461,0,1,0,0,1,1,1,1,0
462,0,4,3,0,2,0,0,0,0
463,1,2,0,2,2,1,0,0,1
464,0,2,0,3,2,0,0,0,0
465,0,1,1,3,0,0,1,0,1
466,1,3,1,0,2,0,0,2,2
467,0,2,0,3,0,1,2,2,2
468,1,2,2,3,0,1,0,2,2
469,1,1,0,0,2,0,1,1,0
470,2,0,2,3,2,1,1,1,1
471,2,1,1,2,1,0,1,0,1
472,2,1,1,1,1,0,2,1,1
473,1,3,1,3,0,0,0,0,1
474,2,3,0,1,2,0,1,1,3
475,2,1,3,0,1,0,0,1,0
476,0,0,1,0,1,0,2,0,1
477,2,0,3,0,2,0,0,2,2
478,0,3,3,0,0,0,2,2,2
479,1,1,1,3,1,0,2,2,2
480,2,2,3,3,2,1,2,2,2
481,1,2,2,2,2,1,2,0,1
482,1,2,1,2,2,1,1,0,1
483,0,3,1,3,2,1,2,1,0
484,0,2,1,1,1,0,0,0,0
485,2,0,2,3,2,0,2,2,2
486,1,3,3,0,1,1,0,1,0
487,0,4,3,0,2,1,0,0,0
488,0,3,2,1,0,0,2,1,0
489,2,4,1,3,2,0,1,1,3
490,1,4,0,0,1,1,0,0,0
491,1,0,1,2,1,1,2,1,1
492,0,2,3,1,0,1,1,2,2
493,2,1,2,0,1,0,0,1,0
494,2,3,3,3,1,1,0,0,0
495,1,0,3,2,1,0,0,1,1
496,2,4,3,3,1,0,1,0,0
497,1,4,3,2,1,1,1,0,1
498,2,3,1,3,0,0,2,2,2
499,1,0,2,1,0,1,1,0,1
500,0,0,0,3,2,1,2,0,1
501,1,3,0,1,1,0,0,1,0
502,1,2,0,2,0,1,1,2,2
503,1,1,3,1,1,1,0,1,0
504,2,0,1,2,0,0,1,1,1
505,1,4,2,0,0,0,2,2,2
506,1,1,2,0,0,1,2,1,1
507,0,2,1,0,1,1,0,2,2
508,0,3,3,2,0,0,2,2,2
509,1,2,0,1,1,1,0,1,0
510,2,0,0,2,0,0,1,2,2
511,0,1,3,2,2,0,1,0,1
512,0,3,2,2,2,1,2,0,0
513,1,3,2,0,2,1,1,2,2
514,1,1,0,3,2,1,0,0,1
515,2,0,3,2,0,0,2,0,1
516,0,1,2,0,2,1,0,0,1
517,2,2,2,3,0,1,2,2,2
518,1,1,1,1,2,0,0,1,0
519,2,1,1,1,2,1,1,2,2
520,1,4,3,2,0,0,1,1,0
521,1,1,2,2,1,1,2,2,2
522,0,1,1,0,1,1,2,1,1
523,2,3,1,1,0,1,1,1,0
524,0,3,0,0,1,0,1,2,2
525,0,0,2,2,1,1,0,0,1
526,1,0,2,3,1,1,1,2,2
527,1,0,1,1,2,0,1,0,1
528,1,0,2,0,2,0,1,1,0
529,0,2,1,3,0,1,2,1,0
530,1,1,2,0,2,1,2,1,1
531,1,2,0,0,1,0,1,2,2
532,0,3,3,2,2,1,0,0,0
533,2,3,0,3,0,0,2,0,0
534,1,1,2,2,0,0,2,0,1
535,0,0,2,0,2,1,0,0,0
536,1,0,2,1,2,1,2,2,2
537,0,0,1,2,1,1,2,1,1
538,1,1,1,0,2,1,1,1,1
539,1,1,0,2,0,1,2,1,1
540,1,2,2,0,0,1,2,0,1
541,1,2,0,1,2,0,1,0,1
542,2,3,3,0,1,0,1,2,2
543,2,0,2,1,0,0,2,1,1
544,1,2,1,3,1,0,0,0,1
545,2,1,2,0,2,0,0,1,0
546,2,3,0,2,2,0,2,0,0
547,1,3,1,1,0,1,1,1,0
548,1,4,0,1,0,1,2,0,1
549,1,3,1,3,0,0,1,0,1
550,0,4,0,1,1,1,2,0,0
551,0,2,1,3,1,0,1,1,0
552,1,4,2,2,0,1,1,1,0
553,2,0,3,2,2,1,2,1,1
554,2,1,3,0,2,1,1,0,1
555,1,1,0,2,0,1,1,1,1
556,0,3,2,3,0,0,2,1,0
557,1,0,3,1,0,0,1,0,1
558,1,0,3,2,2,0,1,1,0
559,0,0,0,3,1,0,0,0,1
560,1,1,2,1,1,1,0,2,2
561,2,4,1,3,1,1,0,2,2
562,0,2,2,0,1,0,1,1,3
563,1,0,1,0,2,1,0,2,2
564,0,0,0,2,2,1,1,2,2
565,0,1,1,2,0,0,2,1,1
566,1,3,1,1,1,0,1,2,2
567,2,1,2,1,1,1,2,1,1
568,2,3,3,3,1,1,0,1,0
569,2,3,1,3,2,1,0,1,0
570,0,0,0,2,0,1,2,1,1
571,0,0,3,2,2,0,0,2,2
572,0,3,3,0,2,0,2,0,0
573,1,0,1,3,1,1,0,1,1
574,2,3,3,0,1,1,0,0,0
575,2,3,3,0,1,0,0,0,0
576,2,1,1,1,0,1,0,0,1
577,2,1,0,1,2,1,0,1,0
578,2,4,0,2,1,1,1,0,0
579,2,1,0,1,2,0,1,0,1
580,1,0,1,1,1,0,2,0,1
581,0,3,3,3,1,1,0,1,0
582,1,3,2,1,0,0,2,2,2
583,2,3,0,2,1,0,0,0,0
584,2,3,0,1,2,0,2,0,0
585,2,3,3,3,2,0,0,1,3
586,2,0,3,1,2,0,0,1,0
587,2,0,3,0,1,1,2,2,2
588,2,3,0,2,2,1,1,0,0
589,0,0,3,3,0,0,0,1,0
590,0,1,0,3,0,0,1,1,1
591,2,2,0,0,1,1,1,2,2
592,0,3,2,0,1,0,1,0,0
593,2,1,0,2,0,0,0,2,2
594,2,3,2,3,2,0,0,2,2
595,0,0,3,3,0,0,1,0,1
596,2,0,3,3,1,0,0,1,1
597,0,3,1,0,2,1,2,2,2
598,0,4,1,0,1,0,1,0,0
599,2,2,1,3,0,0,0,2,2
600,0,0,3,2,2,0,1,2,2
601,0,0,0,3,1,1,0,1,0
602,1,3,1,3,1,1,1,2,2
603,0,3,0,2,0,1,0,1,0
604,2,4,3,1,0,1,2,2,2
605,1,4,0,0,0,1,2,0,0
606,2,2,3,2,1,0,0,1,0
607,1,4,2,3,1,0,0,2,2
608,1,2,1,2,1,1,1,0,1
609,0,4,1,2,0,0,2,2,2
610,2,1,3,2,0,0,0,2,2
611,0,3,0,2,1,1,1,0,0
612,0,2,2,0,0,1,0,1,0
613,0,2,0,3,1,0,0,2,2
614,0,3,2,1,1,0,2,0,0
615,1,2,0,3,1,0,0,1,1
616,1,4,3,0,0,1,2,1,1
617,1,1,3,2,2,1,1,1,1
618,0,0,2,0,0,0,1,0,1
619,1,1,1,0,2,0,1,2,2
620,2,1,1,2,2,1,0,1,1
621,1,4,3,3,0,0,0,2,2
622,1,0,1,1,1,1,0,1,1
623,1,4,1,0,2,0,1,2,2
624,1,0,3,1,1,1,0,0,1
625,0,1,0,1,0,1,0,2,2
626,0,4,1,3,2,1,1,2,2
627,2,0,2,2,1,0,1,2,2
628,0,4,2,2,0,1,2,1,0
629,1,1,0,0,0,1,2,0,1
630,0,3,0,1,0,0,2,1,0
631,2,3,2,0,0,1,0,2,2
632,1,0,2,0,2,0,2,0,1
633,2,2,2,2,1,1,0,1,0
634,2,4,0,3,2,1,1,0,0
635,0,1,2,2,2,1,0,1,1
636,1,0,0,0,0,1,0,1,0
637,1,0,2,3,0,0,2,0,1
638,1,4,0,0,1,1,0,1,0
639,2,0,1,1,2,1,2,0,1
640,0,1,3,1,2,1,1,2,2
641,0,1,3,0,0,0,2,2,2
642,0,1,0,0,1,1,2,0,1
643,1,2,0,1,2,1,0,0,1
644,1,4,3,2,0,0,0,1,0
645,1,4,0,3,1,1,2,0,1
646,2,2,1,0,0,1,2,2,2
647,2,2,2,3,2,1,2,1,1
648,1,2,0,2,1,0,2,1,1
649,1,1,3,2,1,0,1,1,1
650,1,1,3,2,1,0,2,1,1
651,0,2,3,0,0,1,1,2,2
652,1,4,0,3,2,0,1,0,0
653,2,1,2,3,2,0,1,1,0
654,2,4,2,2,2,1,2,0,0
655,0,2,1,3,2,0,0,1,3
656,0,1,1,0,1,0,2,0,1
657,1,1,1,1,2,1,2,0,1
658,1,0,2,3,1,1,2,2,2
659,0,0,0,0,1,1,2,2,2
660,1,4,2,2,2,0,0,1,0
661,2,4,0,0,2,0,0,2,2
662,2,4,0,2,1,0,2,0,0
663,1,3,3,1,1,1,1,0,0
664,1,2,2,2,0,1,0,2,2
665,1,2,1,1,2,0,0,1,0
666,1,1,0,0,1,0,2,0,1
667,0,2,2,1,0,1,2,1,0
668,1,2,3,2,0,1,2,1,1
669,1,3,0,0,0,1,1,1,0
670,1,1,2,2,0,0,0,2,2
671,1,1,1,2,1,0,1,0,1
672,0,3,3,2,2,1,1,0,0
673,0,3,2,1,2,0,1,2,2
674,1,1,1,3,2,0,0,2,2
675,0,4,1,0,0,0,2,2,2
676,2,2,0,0,1,0,0,0,0
677,0,4,0,1,0,0,1,1,0
678,1,2,2,2,2,1,1,0,1
679,1,2,2,1,1,1,1,2,2
680,1,4,2,0,2,0,2,0,0
681,2,3,1,2,2,1,2,2,2
682,1,1,3,1,1,1,2,1,1
683,1,4,0,0,1,1,2,0,0
684,2,2,2,1,1,0,1,1,0
685,2,0,2,0,2,0,2,2,2
686,2,2,0,2,2,0,2,0,0
687,2,2,0,3,0,1,2,0,1
688,2,4,3,1,1,0,1,2,2
689,0,0,2,0,0,0,0,1,0
690,2,0,2,3,1,0,0,2,2
691,2,0,2,2,1,0,0,1,1
692,1,4,2,3,1,0,0,0,1
693,1,0,0,2,0,0,1,1,1
694,1,3,1,1,2,1,0,0,1
695,1,2,2,3,2,0,1,0,1
696,2,1,1,0,0,0,1,1,1
697,1,0,1,0,2,0,1,0,1
